sentence,relation,head,head_offset,tail,tail_offset
在卡拉卡拉中，在枯叶道馆里马志士用雷丘和赤红进行道馆赛并最终被打败了，最后将橙色徽章交给了赤红。战斗的过程并没有展示出来。,挑战,马志士,13,赤红,20
空木博士是大木博士的优秀学生，两人经常讨论宝可梦研究的问题。不过，空木博士的指导内容多冗长且多余。在小智与大木博士通话时，空木博士常会迫不及待地向大木博士介绍自己的新成果，结果说的相当冗长，让小智一行人很尴尬。,伙伴,空木博士,61,小智,96
在卡蒂狗和小次郎中，小次郎初次回忆往事。他出生于一个百万富翁的家庭，小次郎的父母想让小次郎成为一位有用的人才，为小次郎请来了23个私人教师教小次郎艺术和礼仪，但小次郎从小最讨厌的就是那种连拿一根汤匙都要注意礼节的上流社会的生活。小卡是小次郎小时候唯一的朋友。日子久了，小次郎便开始厌倦，常常逃课到别处玩。小次郎透露自己曾在某个祭典上想买风铃铃，但因为那时候没有零花钱而没得到，当自己有零花钱时祭典已经结束，小次郎悲伤不已。,伙伴,小卡,114,小次郎,117
在冒险的第一天，青绿在大木研究所选择的宝可梦在属性上克制主角选的宝可梦RGB或选择伊布Y。在获得宝可梦后，青绿会立刻向主角发出挑战。在主角取回包裹后，大木博士会将里面的宝可梦图鉴也托付给主角和青绿，并希望他们能捉到所有种类的宝可梦，实现完成宝可梦图鉴的梦想。,拥有,青绿,8,伊布,41
在消失的宝可梦之谜，君莎告诉小智一行人金柑岛内的宝可梦行为变得异常，会攻击自己的主人。但自己的鬼斯没有任何变化，她怀疑是超能力属性宝可梦在作乱。在四人一起发现了在道路上的火箭队后，火箭队原不肯和君莎合作，但为了让自己的宝可梦恢复原状，他们告诉君莎这是亚马多和小三郎的阴谋。火箭队把君莎和小智等人混入装有精灵球的推车内进入电波发射塔来破坏他们的恶行，君莎派出了鬼斯抵挡对方的攻击，在催眠装置破坏之后，鬼斯又与催眠貘进行了战斗，但由于在对战中催眠貘和波克比一起使用了挥指引发了自爆，最终亚马多和小三郎被君莎抓捕归案。,敌对,催眠貘,203,鬼斯,199
在浅红道馆的忍者决斗中，小智一行人几经周折通过了道馆的陷阱才见到了道馆馆主阿桔。小智向阿桔发起挑战。小智派出的第一只宝可梦，比比鸟被阿桔的刚刚进化的摩鲁蛾击败了。之后小智让小火龙出战，但比赛被火箭队中断。火箭队捕获了道馆中所有的霹雳电球，并企图对道馆中所有的毒属性宝可梦下手。在火箭队被小霞的可达鸭打飞后，阿桔和小智的比赛重新开始。阿桔的大嘴蝠输给了小火龙之后，阿桔授予了小智粉红徽章。,拥有,小智,83,小火龙,86
坂木是小银的父亲，曾经的常青道馆馆主，火箭队老大。他不止实力高深莫测，亦有将身平经验所著成书以传授后人的广阔胸怀，在他身上有着若隐若现的宗师风范。坂木非常残酷，在乔装试探小智时，他利用刺甲贝残忍地将鸭嘴火兽分尸。,拥有,坂木,73,刺甲贝,92
在VS树才怪中，小茜一开始领先阿金，但是却和实况转播车一起被奇怪的树给堵住了去路，生气的小茜责问实况直播车上的人在搞什么鬼，明明自己好不容易才领先的。这时阿金也追了上来，小茜连忙派出大奶罐对奇怪的树使出滚动，但树纹丝不动。阿金也派出宝可梦想要移开树，但也没成功，这时一只巨大的钻角犀兽出现了，似乎在找什么东西，小茜想要先打败钻角犀兽，但不想在对战时反被钻角犀兽抓走了。而这时，阿金发现了树的真身是树才怪，因为被钻角犀兽追才变成了奇怪的树，将它收服后，阿金和广播台的工作人员一起去营救小茜，阿金的树才怪打败了钻角犀兽，小茜得救了但是比赛也终止了。不过，扭到手的小茜看着阿金一副小人得志的样子气就不打一处,拥有,阿金,244,树才怪,247
在VS蜻蜻蜓中，小刚与其他道馆的道馆馆主乘坐磁浮列车，抵达石英高原的竞技场，参加宝可梦联盟大会前的表演赛。在决定比赛顺序的抽签环节，小钢抽到了跟阿蜜同一颜色的球果。,挑战,小钢,66,阿蜜,72
在月见山与他对战后，除了石英高原，星期二、四还能在龙穴看到他，此时他身后跟随着他的最初的伙伴，而且他的大嘴蝠进化为了叉字蝠，说明他已明白和宝可梦搞好关系的意义。事实上，空木博士表明他已经回去道过歉了。阿渡和小椿也在这里，主角需要与小银联手对抗他们俩。,伙伴,小椿,103,阿渡,100
阿响的经历与《水晶版》大致相同。额外的，集齐8枚徽章后，在缘朱市缘朱舞场能得到和服女孩们的认可，她们会前往铃铛塔协助阿响召唤凤王HG/前往漩涡岛协助阿响召唤洛奇亚SS。而登入名人堂后，凤王卫队中的水君在四处逃窜后最终待在了２５号道路的海角。水京会在此见证主角和水君的对决。,拥有,阿响,74,洛奇亚SS,78
在VS皮卡丘中，小智得知了小茂准备挑战深灰道馆的道馆馆主小刚，还从印有小刚的宣传单上得知了道馆的开放时间。,挑战,小茂,13,小刚,28
在菜种与刺球仙人掌！告别是为了谁！中，他为了让刺球仙人掌学会吸取拳以及让它过上更好的生活而将它托付给菜种训练，并为此伤心了很久。,友好,刺球仙人掌,23,菜种,50
在最后一击中，露营少年顺次和理科男昭仁一同回到红莲镇探望夏伯，看见夏伯正在看年轻时与富士老人一起探险的照片，摄影地点可能是在边境的小岛。,位于,夏伯,28,红莲镇,23
阿笔首次在VS未知图腾中登场，路过的阿金误将阿笔当成女孩子，想要叫他去喝茶，但阿笔告诉阿金自己是男的之后，阿金表现得十分沮丧并让阿笔不要介意。当阿笔表示自己来这里是为了寻找失踪的身为自己同伴的遗迹探险队的同伴，阿金决定帮助阿笔找到那些失踪的同伴。阿笔询问阿金来阿露福遗迹的缘由，阿金表示自己也是来寻找失踪的宝可梦的，阿笔表现的很激动，还表示自己在钓鱼胜地也听说过类似的事情。阿笔看到阿金让火球鼠把遗迹的墙壁烧塌，急忙阻止，但最终阿笔还是跟阿金从被火球鼠烧开的墙壁鲁莽地进入遗迹，阿笔跟阿金介绍了遗迹墙壁上画着的“象征宝可梦”时，遇到了遇到了正在遗迹内捕捉未知图腾的火箭队中队长三人组的攻击，阿笔和阿金,伙伴,阿金,105,阿笔,111
小银是火箭队老大坂木的儿子，他不认可父亲的隐退，更憎恨火箭队的所作所为，打算自力更生。虽然他一开始推崇实力至上，但是在与主角和冠军阿渡的接触中也慢慢学会了爱护宝可梦。小银是游戏中唯一有路过的（暂译，日文︰とおりすがりの，英文︰Passerby）这一训练家类型的人。,亲戚,小银,0,坂木,8
在雷公 雷的传说的片头中，小银用尼多王打败刚出道的健太和他的火球鼠。后来，健太和火球鼠不断特训，不断向他挑战。最终，火球鼠进化成了火暴兽，成功击败了尼多王。,拥有,小银,13,尼多王,16
娜姿在小的时候觉醒了超能力，之后就成为了超能力属性属性训练家。她除了会念力移物，还会预知未来。她不是很喜欢对战，但实力依旧强劲。金黄市原先有两座道馆，但隔壁的格斗道馆在馆主竞争赛中输给了娜姿。后来娜姿还当上了影视明星。,位于,娜姿,0,金黄市,64
在VS大岩蛇中，小刚旁观接连打败了多位训练家的小智，心想终于能够有想自己挑战的训练家出现了。因为小智的其他宝可梦的HP都不足了，就拜托皮卡丘上场和小刚对战。但皮卡丘十分不愿意，于是小刚就让大岩蛇对皮卡丘进行攻击，但皮卡丘接连躲开了多个落石，但被最后一颗落石砸中的它十分不爽直接电了小智。这时，小刚误会小智能够赢得对战只是纯属侥幸，生气的小刚想给小智一点颜色瞧瞧，就让大岩蛇放开全力给小智的皮卡丘最后一击。小智担心皮卡丘承受不住而跃身救下了皮卡丘，这使得皮卡丘十分感动，直接放电将大岩蛇电的七零八落从而赢得了胜利，小智也从小刚那里的获得灰色徽章。同时，小茂也从小刚那里拿到了灰色徽章。,拥有,小智,48,皮卡丘,67
大木博士曾经就读于玉虹大学理工科，毕业后继续在该大学读生物学硕士，现在是该大学携带兽学教授。大木博士以前是一位出色的训练家，四天王之一菊子和他曾经好友。但后来，他隐退了，开始研究起了宝可梦，菊子认为他变软弱了，因此疏远了他。钢铁家的照片显示他、大木博士、菊子都是好友。,伙伴,钢铁,112,大木博士,122
当空木博士拜托他去住在吉花市北边的宝可梦爷爷那里跑一趟时，阿响的旅程开始了。考虑到他可能会在路上遇到危险的野生宝可梦，空木博士还送给了他一只最初的伙伴来防身。临走时，阿响看到一个和他同岁的奇怪男孩正在空木博士研究所外偷窥。当他想要跟他说话时，男孩粗鲁地推开了他。在宝可梦爷爷的家里他还遇到了大木博士。大木博士看出阿响与宝可梦之间的牵绊，交给了他宝可梦图鉴。在回家的路上，阿响遇到了偷走空木博士的宝可梦的小银。在战斗中击败他后，阿响得知了他的名字并告诉若叶镇的警察。空木博士鼓励他去挑战石英高原。,敌对,小银,201,阿响,185
阿桔曾是火箭队三干部之一，曾是浅红市道馆馆主。 阿桔曾经前往双子岛捕捉急冻鸟，并在几番波折之后成功。 苏芳岛决战之后被希巴所救。 和小茂有很深的羁绊。 假面男被打败之后，阿桔和曾经都是邪恶组织成员的希巴、一树以及梨花结为同盟。后来他们以城都新四天王的身份在心金·魂银篇登场。,拥有,阿桔,24,急冻鸟,35
《竞技场金银》中，青绿在关都道馆馆主城中的常青道馆。,位于,青绿,9,关都,12
在VS飞天螳螂中，阿笔在休息室和钢铁先生表示感谢，阿笔和千惠一起听了钢铁对带球捕获网的讲解，从休息室出来后阿笔就遇到了自己的对手娜姿，跟娜姿打了招呼。接着在马志士和松叶的对战落下帷幕后，阿笔和娜姿走上赛场，阿笔先是派出飞天螳螂用连斩打了娜姿的魔墙人偶个措手不及，紧接着阿笔又换上赫拉克罗斯用超级角击将魔墙人偶打飞，但却不料想阿笔和赫拉克罗斯都进了娜姿的圈套，被关在了一间看不见的房子里，阿笔这才意识到魔墙人偶假装被飞天螳螂和赫拉克罗斯达到其实是趁机在建造者所房子，本想让赫拉克罗斯用猛撞给透明房子开个洞，但却因为对面的魔墙人偶使用了再来一次而无法成功使出招式。最后，阿笔输掉了比赛。,拥有,阿笔,162,赫拉克罗斯,165
在最终决战XIV中，奈奈美成为了正辉的助手，而克丽丝塔儿成为了大木博士的新助手。,伙伴,奈奈美,10,正辉,16
他的雷丘也跟他一样，装了男子汉的表面。不过，马志士的主要弱点是使他的宝可梦进化太快，不让它们好好学会提升速度的招式，虽然他初次能使出威力来击败小智和皮卡丘，皮卡丘在再战中能够使出提升速度的招式，如高速移动来压倒和战胜雷丘，于是马志士是小智第一个真正战胜过的道馆馆主。虽然马志士输了，他却能很爽快地承认失败并祝贺能打败他的训练家。,挑战,小智,117,马志士,113
莉佳出现在莉佳和臭臭花，经营玉虹市的香水店。说话很有礼貌，但是听不得侮辱店里香水的语句。之前小智正是因为说出这种话而被她赶出店，并且不允许他挑战道馆。武藏和小次郎想潜入道馆偷香水卖钱却被赶出来，遇到小智，他们就设法进入道馆。不得已小智男扮女装混了进来，却被皮卡丘察觉。莉佳答应和他比赛，而比赛中她显得自信满满，直到小智派出她最不擅长应付的火属性的小火龙。可是火箭队打断了比赛并且制造了火灾。小智奋不顾身救下莉佳最喜欢的、曾经帮助过她的臭臭花。莉佳出于感激而将徽章交给小智。,位于,莉佳,5,玉虹市,14
莉佳出现在莉佳和臭臭花，经营玉虹市的香水店。说话很有礼貌，但是听不得侮辱店里香水的语句。之前小智正是因为说出这种话而被她赶出店，并且不允许他挑战道馆。武藏和小次郎想潜入道馆偷香水卖钱却被赶出来，遇到小智，他们就设法进入道馆。不得已小智男扮女装混了进来，却被皮卡丘察觉。莉佳答应和他比赛，而比赛中她显得自信满满，直到小智派出她最不擅长应付的火属性的小火龙。可是火箭队打断了比赛并且制造了火灾。小智奋不顾身救下莉佳最喜欢的、曾经帮助过她的臭臭花。莉佳出于感激而将徽章交给小智。,伙伴,武藏,75,小次郎,78
当空木博士拜托他去住在吉花市北边的宝可梦爷爷那里跑一趟时，阿响的旅程开始了。考虑到他可能会在路上遇到危险的野生宝可梦，空木博士还送给了他一只最初的伙伴来防身。临走时，阿响看到一个和他同岁的奇怪男孩正在空木博士研究所外偷窥。当他想要跟他说话时，男孩粗鲁地推开了他。在宝可梦爷爷的家里他还遇到了大木博士。大木博士看出阿响与宝可梦之间的牵绊，交给了他宝可梦图鉴。在回家的路上，阿响遇到了偷走空木博士的宝可梦的小银。在战斗中击败他后，阿响得知了他的名字并告诉若叶镇的警察。空木博士鼓励他去挑战石英高原。,敌对,阿响,185,小银,201
武藏（日文︰ムサシ，英文︰Jessie）是火箭队的一员，她是三人组的领导者。她和她的同伙小次郎、喵喵总是跟着小智一行人，企图抢走小智的皮卡丘，但从没成功过。在宝可梦 太阳＆月亮的阿罗拉联盟的宣传影片中，她被称为战场的女演员（暂译，日文︰戦場のアクトレス）。,敌对,小智,54,小次郎,44
在首次到达３９号道路时，他会告诉主角新的狩猎地带将会开业，并把自己的宝可齿轮号码给主角。在完成光辉灯塔送药的剧情后，狩猎地带才会开张。接下来他会要求主角在狩猎地带中完成一个任务：在狩猎地带收服一只小拳石。完成三小时后，则会收到第二个任务：使用区域定制功能，并收服一只穿山鼠。,出没,小拳石,98,狩猎地带,90
在VS传说的鸟宝可梦中，小刚负责封锁了靠金黄市南侧的出口防止因为看到西尔佛公司着的火越来越大而企图逃出的火箭队手下，以此来帮助小智等人彻底击溃火箭队并将其一网打尽，他还告诉小智那只被打败的大岩蛇已经满血复活了。,伙伴,小刚,12,小智,63
夏伯为红莲镇道馆馆主，也是化石研究基地的实验员，曾为火箭队的科研人员。 他创造了超梦。,位于,夏伯,0,红莲镇,3
空木博士出现在若叶镇，吹起开启之风的城镇，当天乔伊要为送给新人训练家的小锯鳄检查身体，他细心地在用显微镜看细胞时，把进入研究所的火箭队当作乔伊，而小锯鳄咬着武藏的头发不放。过后，他寻求了君莎的帮助。在小智一行人遇见了空木博士时，他为小刚介绍了他所研究的宝可梦理论。,敌对,乔伊,69,火箭队,64
奈奈美、小智、小蓝一起去找正辉，却发现正辉受了伤。原来赤焰松和水梧桐早先来过，抢走了红宝石和蓝宝石自我修复成的朱红色宝珠和靛蓝色宝珠。,伙伴,赤焰松,27,水梧桐,31
青绿跟赤红在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,伙伴,风露,31,大叶,34
在火箭队！乱抓，再见了！中，小次郎和武藏、喵喵遇到了宝可梦猎人阿隆和被他偷捕的阿柏蛇和瓦斯弹。双弹瓦斯看到被捉的同伴感到很伤心，于是小次郎决定将瓦斯弹全部救出来。然而由于实力上的差距，他们被阿隆的沙基拉斯用沙暴打飞。后来阿柏怪通过地面的震动再次找到了阿隆，双弹瓦斯使用烟幕吸引了阿隆的注意力，喵喵则乘机将阿柏蛇和瓦斯弹从笼子里放了出来。这让阿隆十分恼火，他再次派出了他的沙基拉斯，沙基拉斯进化为班基拉斯并使出了让果然翁来不及用出双倍奉还的破坏光线。小次郎和武藏自知他们打不过班基拉斯，于是两人命令阿柏怪和双弹瓦斯保护阿柏蛇和瓦斯弹离开，而两人和喵喵则用身体挡下了班基拉斯的攻击。在该集末尾，小次郎收服,拥有,小次郎,14,双弹瓦斯,47
小茜在满金道馆，力量与速度中首次登场，她在小智的皮卡丘和她的皮皮相撞后，跑到了皮卡丘身边，亲吻了皮卡丘的额头，让皮卡丘很是开心。 随后，她带着小智一行人穿过满金地道，来到了满金百货商场。 然而，他们却跌跌撞撞地走了很多不想去的地方。 最后，他们来到一家餐厅，吃了汉堡。之后，他们遇到了火箭队，火箭队抢走了她的皮皮，坐上了磁浮列车，但被他们成功拦住了，火箭队随即空手而去，空手而归。在得知小茜就是满金道馆馆主后，小智向她提出道馆挑战的请求，尽管今天是她的休息日，但她还是答应了挑战，并专门为他开放了道馆。在比赛中，小智成功用他的火球鼠打败了她派出的第一只宝可梦尼多丽娜。接着她派出皮皮，却因挥指使出了毫,拥有,小智,21,皮卡丘,24
在《钻石／珍珠／白金》中，首次会在宝可梦中心之外会出现宝可梦中心的姐姐，家缘市的宝可梦中心的姐姐美狄（暂译，日文︰メディ，英文︰Casey）会参加超级华丽大赛，使用的宝可梦为吉利蛋气球（暂译，日文︰ばるん，英文︰Pinky）。,拥有,美狄,48,吉利蛋气球,87
在巨钳螳螂对抗赫拉克罗斯中小智和新吾对战的时候，小霞在说“宝可梦会为了训练家而努力”后，提到了科拿曾经也说过这句话。,敌对,巨钳螳螂,1,赫拉克罗斯,7
在VS佛烈托斯中，小刚和小霞来到小智家，把自己参加道馆馆主考试的录像带借给小智，来帮助小智更顺利地通过由宝可梦协会组织的常青道馆的道馆馆主考试。,伙伴,小霞,12,小智,16
亚希达先生与对战开拓区！中，丰缘联盟结束后，小智在回真新镇的途中路过常青市，他发现道馆已经整修完毕，于是一时兴起便想再次挑战常青道馆，结果发现道馆馆主暂时由菊子接任。战斗采1对1，小智使用皮卡丘，菊子则使用耿鬼，耿鬼在使出催眠术之后接著使用食梦便结束了这场比赛，由菊子取得胜利。虽然小智战败，但他的实力仍得到菊子的肯定。菊子表示，在找到下一任常青市道馆馆主之前暂时由她担任道馆馆主的职位。之后火箭队三人组突然出现抢夺皮卡丘，菊子出手帮助，并使用大嘴蝠与皮卡丘合力打跑火箭队。,拥有,菊子,98,耿鬼,103
在讨厌水属性宝可梦的乔伊！小霞的愤怒！中，出现了一位在治疗水属性宝可梦的宝可梦中心里工作的乔伊小姐，但她自己很讨厌水属性宝可梦。在飘飘球与北风的使者！中，出现了名叫沙耶香和小舞的两位乔伊的孩子，她们指出乔伊只是她们家族的“姓氏”。,亲戚,乔伊,45,沙耶香,82
在VS多边兽Ⅱ和VS炎帝中奈奈美因她的爷爷大木博士有事无法离开才来替小茂加油。她走到楼梯正在找他的弟弟时，发现红色的暴鲤龙和蓝色的暴鲤龙正在和炎帝对峙。,亲戚,奈奈美,13,大木博士,21
在消失的宝可梦之谜，君莎告诉小智一行人金柑岛内的宝可梦行为变得异常，会攻击自己的主人。但自己的鬼斯没有任何变化，她怀疑是超能力属性宝可梦在作乱。在四人一起发现了在道路上的火箭队后，火箭队原不肯和君莎合作，但为了让自己的宝可梦恢复原状，他们告诉君莎这是亚马多和小三郎的阴谋。火箭队把君莎和小智等人混入装有精灵球的推车内进入电波发射塔来破坏他们的恶行，君莎派出了鬼斯抵挡对方的攻击，在催眠装置破坏之后，鬼斯又与催眠貘进行了战斗，但由于在对战中催眠貘和波克比一起使用了挥指引发了自爆，最终亚马多和小三郎被君莎抓捕归案。,敌对,君莎,249,亚马多,241
一年后，在VS班基拉斯中奈奈美正在帮小智特训，但对他的四肢麻痹表示担心。然后在VS佛烈托斯和VS巨钳螳螂中，奈奈美和小黄一起观看常青道馆里考试会场的小智进行考试对战。后来奈奈美打听到在白银山可以治疗受伤宝可梦的神奇温泉的情报，小智得知后向白银山出发。,伙伴,奈奈美,54,小黄,58
在消失的宝可梦之谜，君莎告诉小智一行人金柑岛内的宝可梦行为变得异常，会攻击自己的主人。但自己的鬼斯没有任何变化，她怀疑是超能力属性宝可梦在作乱。在四人一起发现了在道路上的火箭队后，火箭队原不肯和君莎合作，但为了让自己的宝可梦恢复原状，他们告诉君莎这是亚马多和小三郎的阴谋。火箭队把君莎和小智等人混入装有精灵球的推车内进入电波发射塔来破坏他们的恶行，君莎派出了鬼斯抵挡对方的攻击，在催眠装置破坏之后，鬼斯又与催眠貘进行了战斗，但由于在对战中催眠貘和波克比一起使用了挥指引发了自爆，最终亚马多和小三郎被君莎抓捕归案。,拥有,君莎,10,鬼斯,47
在VS猫头夜鹰中，阿速先是在观众席上去观看了小茜和小霞的比赛，紧接着就轮到他上场了，阿速派出了猫头夜鹰迎战阿杏的臭臭泥。对战中，阿杏的臭臭泥缩小这一点让阿速很是惊讶，接着阿速由臭臭泥使出的臭泥炸弹判断出阿杏的专长是毒属性。阿速深知如果再被臭臭泥击中，就会输掉比赛，但是他又找不到缩小的臭臭泥的位置，于是阿速决定让猫头夜鹰使用识破找到了臭臭泥，见情形不妙的阿杏收回了臭臭泥，换上了阿利多斯，阿速命令猫头夜鹰抓起了阿利多斯展开空中决斗，但阿利多斯脱离了猫头夜鹰回到地面，还在猫头夜鹰面前织网，趁着阿速分析阿利多斯行为并且阿杏在解释阿利多斯的蛛丝时，阿利多斯再次发动攻击用锐利的攻击丝击败了猫头夜鹰。阿速派,拥有,阿杏,177,阿利多斯,189
在宝可梦 太阳＆月亮中，火箭队三人组直到第三集才出场。因为坂木老大指派的任务，火箭队前来阿罗拉地区捕捉阿罗拉地区特有的宝可梦，武藏已经将南瓜怪人寄放在火箭队总部。在这一集中，武藏和小次郎在与小智对战时被穿着熊抱走，来到了穿着熊的巢穴。之后武藏用小次郎的豪华球收服了帮助他们的谜拟Ｑ。,出没,穿着熊,101,阿罗拉地区,44
在火箭队！乱抓，再见了！中，武藏和小次郎、喵喵遇到了宝可梦猎人阿隆和被他偷捕的阿柏蛇和瓦斯弹。阿柏怪看到受伤的同伴感到很伤心，于是武藏决定将阿柏蛇全部接收并善待它们。然而由于实力上的差距，他们被阿隆的沙基拉斯用沙暴打飞。后来阿柏怪通过地面的震动再次找到了阿隆，双弹瓦斯使用烟幕吸引了阿隆的注意力，喵喵则乘机将阿柏蛇和瓦斯弹从笼子里放了出来。这让阿隆十分恼火，他再次派出了他的沙基拉斯，沙基拉斯进化为班基拉斯并使出了让果然翁来不及用出双倍奉还的破坏光线。武藏和小次郎自知他们打不过班基拉斯，于是两人命令阿柏怪和双弹瓦斯保护阿柏蛇和瓦斯弹离开，而两人和喵喵则用身体挡下了班基拉斯的攻击。,敌对,小次郎,17,阿隆,31
在消失的宝可梦之谜，君莎告诉小智一行人金柑岛内的宝可梦行为变得异常，会攻击自己的主人。但自己的鬼斯没有任何变化，她怀疑是超能力属性宝可梦在作乱。在四人一起发现了在道路上的火箭队后，火箭队原不肯和君莎合作，但为了让自己的宝可梦恢复原状，他们告诉君莎这是亚马多和小三郎的阴谋。火箭队把君莎和小智等人混入装有精灵球的推车内进入电波发射塔来破坏他们的恶行，君莎派出了鬼斯抵挡对方的攻击，在催眠装置破坏之后，鬼斯又与催眠貘进行了战斗，但由于在对战中催眠貘和波克比一起使用了挥指引发了自爆，最终亚马多和小三郎被君莎抓捕归案。,伙伴,君莎,140,小智,143
在VS猫头夜鹰中，阿速先是在观众席上去观看了小茜和小霞的比赛，紧接着就轮到他上场了，阿速派出了猫头夜鹰迎战阿杏的臭臭泥。对战中，阿杏的臭臭泥缩小这一点让阿速很是惊讶，接着阿速由臭臭泥使出的臭泥炸弹判断出阿杏的专长是毒属性。阿速深知如果再被臭臭泥击中，就会输掉比赛，但是他又找不到缩小的臭臭泥的位置，于是阿速决定让猫头夜鹰使用识破找到了臭臭泥，见情形不妙的阿杏收回了臭臭泥，换上了阿利多斯，阿速命令猫头夜鹰抓起了阿利多斯展开空中决斗，但阿利多斯脱离了猫头夜鹰回到地面，还在猫头夜鹰面前织网，趁着阿速分析阿利多斯行为并且阿杏在解释阿利多斯的蛛丝时，阿利多斯再次发动攻击用锐利的攻击丝击败了猫头夜鹰。阿速派,拥有,阿杏,258,阿利多斯,263
打败了。小茂露面告诉小钢等人幕后真凶是曾经和自己交战过四天王之一的菊子，小刚对四天王的真实目的抱有疑惑。小茂觉得小黄在某些方面还是不如小智，于是小黄决定跟着小茂修行，临行前小刚把他的隆隆石交给小黄希望能助她一臂之力。,伙伴,小刚,86,小黄,96
大木奈奈美（日文︰オーキド・ナナミ，英文︰Daisy Oak）是青绿的姊姊，也是大木博士的孙女。,亲戚,大木奈奈美,0,青绿,32
集齐16枚徽章后，每天12:00至15:00之间小刚会出现在地鼠洞穴２号道路入口内，并告诉主角他的宝可齿轮号码。如果在星期六晚上打给他的话，他会前往格斗道场等待再战。得到号码后，每天17:00至20:00之间他还会在地鼠洞穴出现，此时主角可以和他合影。如果于星期一、四、六的这个时间在地鼠洞穴和他对话，他会用学会雷电牙的独角犀牛角儿（暂译，日文︰つのこ，英文︰Hornlette）交换主角的盆才怪。,拥有,小刚,24,独角犀牛角儿,160
在VS大力鳄中，为了从小银的控制中脱身，拉姆达化妆成巴奥巴的样子。而这时巡视的员工正好赶来，伪装的巴奥巴假装跟小银很熟而成功脱了身，而真正的巴奥巴却被绑了起来。,敌对,巴奥巴,26,拉姆达,20
武藏在迷路就走上人生的岔路!?武藏与果然翁!!中被伟特医生救起，并对他产生感情，甚至为此考虑退出火箭队，但最后因为听到小次郎和火箭队的宝可梦们被宝可梦猎人袭击，加上意识到伟特医生心有所属，最后还是回归，借助果然翁和小智一行人的帮助打败了猎人。在迈向明日的三回合劲敌对战!!里，她从翔太笔记本里看到大吾的照片后也对大吾表现出一些痴迷，甚至后来见到他本人时显得很激动。,伙伴,武藏,0,伟特医生,25
小椿（日文︰イブキ，英文︰Clair）是城都地区烟墨市烟墨道馆的道馆馆主。精通龙属性宝可梦，只有在战斗中战胜她的训练家能获得到升龙徽章。她是冠军阿渡的表妹。,亲戚,小椿,0,阿渡,72
性格很活泼。身为一名游泳健将，小霞经常去双子岛修炼。她向往强大的训练家，十分敬仰四天王中的科拿。她是华蓝市唯一能打败２５号道路所有训练家的人。据说小霞对浪漫的海角小屋十分憧憬，喜欢在那里看日落，后来有人见到小霞和她的男友在那里约会。,位于,小霞,15,华蓝市,50
在卡蒂狗和小次郎中，小次郎初次回忆往事。他出生于一个百万富翁的家庭，小次郎的父母想让小次郎成为一位有用的人才，为小次郎请来了23个私人教师教小次郎艺术和礼仪，但小次郎从小最讨厌的就是那种连拿一根汤匙都要注意礼节的上流社会的生活。小卡是小次郎小时候唯一的朋友。日子久了，小次郎便开始厌倦，常常逃课到别处玩。小次郎透露自己曾在某个祭典上想买风铃铃，但因为那时候没有零花钱而没得到，当自己有零花钱时祭典已经结束，小次郎悲伤不已。,伙伴,小次郎,117,小卡,114
在寻找皮卡丘！２０２号道路！中，小次郎将武藏和喵喵带到自己在神奥地区的别墅，并在那里找到了尖牙笼的精灵球。他本想把那里作为他们在神奥的基地，但是却被管家告知他的父母和未婚妻鲁美嘉已经接到消息正在赶来，于是他放弃了这个想法和两个同伴继续尾随小智。,出没,尖牙笼,45,神奥地区,30
赤红跟青绿在帕希欧竞技场观众席观看小结、艾莉丝和阿驯的队伍对战风露、大叶和阿塞萝拉的队伍。,伙伴,阿驯,24,艾莉丝,20
在名侦探君莎，蛋不见了，大搜谜，君莎在小智的蛋被偷后来到宝可梦中心破案，尽管她自称名侦探，但她的破案太过武断而且她的推理没有任何作用。之后她、小智一行人、乔伊遇见得到小智的蛋的袋兽，袋兽把蛋还给了小智，并和小智一起击败了来偷蛋的火箭队。,敌对,小智,103,火箭队,114
赤红没有在正式游戏中登场，但在一个宣传影片中，赤红与叶子进行双打对战，使用吼鲸王和代欧奇希斯（攻击形态），但不敌。,挑战,赤红,23,叶子,26
在小智结束了丰缘联盟彩幽大会的比赛后，火箭队跟随他来到关都的对战开拓区，而小次郎在这其中也来到自己金黄市的别墅，在魔尼尼登场！休息之馆！中将病得很重的风铃铃留在了家中，并且收服了魔尼尼。武藏参加华丽大赛时，他会帮武藏加油，有时候还会应武藏的要求去给她的对手造成一点麻烦。,出没,魔尼尼,89,关都,27
在浅红道馆的忍者决斗中，小智一行人几经周折通过了道馆的陷阱才见到了道馆馆主阿桔。小智向阿桔发起挑战。小智派出的第一只宝可梦，比比鸟被阿桔的刚刚进化的摩鲁蛾击败了。之后小智让小火龙出战，但比赛被火箭队中断。火箭队捕获了道馆中所有的霹雳电球，并企图对道馆中所有的毒属性宝可梦下手。在火箭队被小霞的可达鸭打飞后，阿桔和小智的比赛重新开始。阿桔的大嘴蝠输给了小火龙之后，阿桔授予了小智粉红徽章。,拥有,阿桔,66,摩鲁蛾,74
